t,x,sigma
682.6500347222245,2.543169820511651e-07,8.228799592473433e-08
689.6500347222245,2.7587040259882357e-07,7.184894646649949e-08
696.6500347222245,2.137355510649085e-07,5.98848813805365e-08
703.6500347222245,1.2239827426241234e-07,4.5760937719515676e-08
710.6500347222245,6.239677847747107e-07,7.784188972303043e-08
717.6500347222245,8.792774986678835e-07,8.706698486750885e-08
724.6500347222245,1.0226798154704867e-06,8.064016249858022e-08
731.6500347222245,8.495703316176566e-07,9.986534373063856e-08
738.6500347222245,1.3662623375803565e-06,1.1329104272406504e-07
745.6500347222245,8.20110545489779e-07,8.857804300705716e-08
752.6500347222245,1.0975880505504295e-06,8.818152930449672e-08
759.6500347222245,5.190634796444591e-07,7.284547590120193e-08
766.6500347222245,8.109820467773815e-07,7.661068616729035e-08
773.6500347222245,7.055434707443775e-07,7.679875597883524e-08
780.6500347222245,6.244871102744384e-07,7.684196813033357e-08
787.6500347222245,3.2547454132696776e-07,7.795397288395362e-08
794.6500347222245,4.684202270916555e-07,8.083455881809067e-08
801.6500347222245,3.693010262134818e-07,6.694800727846956e-08
808.6500347222245,8.084100114683357e-07,7.964794185259141e-08
815.6500347222245,5.922903161257131e-07,6.586042569338844e-08
822.6500347222245,1.8763787231856611e-07,5.731895732551629e-08
829.6500347222245,3.891586619868117e-07,5.699338724101722e-08
836.6500347222245,2.0593800565578285e-07,5.92986344846953e-08
843.6500347222245,2.230792412434236e-07,6.288726571096927e-08
850.6500347222245,2.680290463440056e-07,6.585947640617347e-08
857.6500347222245,1.3929513122274587e-07,4.7780032121451335e-08
864.6500347222245,2.811665151042133e-07,5.444029266315144e-08
871.6500347222245,3.6003921088547705e-07,6.02232440251836e-08
878.6500347222245,2.251285186173251e-07,5.215140224724542e-08
885.6500347222245,2.9498042084868906e-07,6.094840335808575e-08
892.6500347222245,4.494148445061598e-07,7.738321541392722e-08
899.6500347222245,5.603831720305009e-07,1.4276278191415877e-07
906.6500347222245,5.050362658429865e-07,7.814506323333017e-08
913.6500347222245,2.8708381446484593e-07,6.363686124562288e-08
920.6500347222245,1.611251527112749e-07,3.750066932691091e-08
927.6500347222245,3.037290022643077e-07,6.019970666625883e-08
934.6500347222245,5.894174619808187e-07,7.946969423941994e-08
941.6500347222245,1.1487064160528228e-06,9.27452485886305e-08
948.6500347222245,9.080333648253071e-07,1.0308363047164776e-07
955.6500347222245,7.13344099294828e-07,9.611038048616509e-08
962.6500347222245,5.095065346765091e-07,8.236925659064043e-08
969.6500347222245,4.963103850427366e-07,6.628703039192093e-08
976.6500347222245,5.639030557085355e-07,6.473864107799403e-08
983.6500347222245,4.2188870928373137e-07,6.039553505374445e-08
990.6500347222245,3.0073619019805597e-07,6.091160170772739e-08
997.6500347222245,2.791400384002705e-07,6.738297887466795e-08
1004.6500347222245,1.054858821483151e-07,3.321880834894739e-08
1011.6500347222245,3.124079515469934e-07,7.406795421160298e-08
1018.6500347222245,4.928490895514612e-07,6.908063424546973e-08
1025.6500347222245,1.700075754002312e-07,5.4960791894665376e-08
1032.6500347222245,2.692947082103969e-07,6.019890303698055e-08
1039.6500347222245,3.9064364590770025e-07,6.696841515846695e-08
1046.6500347222245,1.0301947027688395e-06,9.298977532396307e-08
1053.6500347222245,8.23174865323409e-07,1.018898704216826e-07
1060.6500347222245,2.7820106400553175e-06,1.5415188913460972e-07
1067.6500347222245,1.5498559256266912e-06,1.114510334497128e-07
1074.6500347222245,1.063605647268597e-06,1.0549858241231046e-07
1081.6500347222245,1.278083051855009e-06,1.1096569093007978e-07
1088.6500347222245,4.209488400946937e-06,1.5687504916392462e-07
1095.6500347222245,3.1252886192223426e-06,1.7904476489758254e-07
1102.6500347222245,2.494385325438382e-06,1.8069767464569422e-07
