t,x,sigma
682.6500347222245,8.817690328483271e-08,9.290459040355497e-08
689.6500347222245,1.2532169749850173e-07,5.642966320308254e-08
696.6500347222245,5.049943011304124e-07,8.196445915021989e-08
703.6500347222245,4.756945834507188e-07,1.0628984748589505e-07
710.6500347222245,9.921116484569394e-07,8.629792115503951e-08
717.6500347222245,1.664498901779399e-06,1.1149447546933755e-07
724.6500347222245,1.4208696102457716e-06,1.2081509217282636e-07
731.6500347222245,5.711174858640688e-07,8.775419194122027e-08
738.6500347222245,2.242856030353551e-07,1.0880379323500538e-07
745.6500347222245,1.6867320888552917e-07,7.269847101569284e-08
752.6500347222245,2.8238131995332906e-07,6.172046213804389e-08
759.6500347222245,3.5378623586312636e-07,7.363995835337247e-08
766.6500347222245,2.806939160351207e-07,8.141891079221509e-08
773.6500347222245,2.7588733352805466e-07,7.62686693465719e-08
780.6500347222245,3.305263247505397e-07,8.328909480022167e-08
787.6500347222245,1.9010472988216135e-07,7.344850796211874e-08
794.6500347222245,1.2519449250067333e-07,8.17216387360267e-08
801.6500347222245,2.0229858582773508e-07,5.972071448737853e-08
808.6500347222245,1.2223520697086738e-07,9.100959751955245e-08
815.6500347222245,2.1792287225650391e-07,6.083070678756916e-08
822.6500347222245,3.6848771282845915e-07,6.761571348773035e-08
829.6500347222245,4.794402326173956e-07,7.63832640559371e-08
836.6500347222245,2.1070385692846348e-06,1.4139466473542071e-07
843.6500347222245,3.07948711928992e-06,1.5212847159492853e-07
850.6500347222245,1.4215117084842483e-06,9.905210490935267e-08
857.6500347222245,6.357277631804806e-07,1.1420437106781178e-07
864.6500347222245,5.418433578511521e-07,7.351891956174519e-08
871.6500347222245,8.303225300005481e-07,1.123797164439767e-07
878.6500347222245,4.3629004029263425e-07,1.0334186079245583e-07
885.6500347222245,4.157123191272742e-07,1.1736889537779554e-07
892.6500347222245,6.270306468319041e-07,1.0416003263014346e-07
899.6500347222245,3.5040223107619583e-06,2.673051513285542e-07
906.6500347222245,3.244075099710006e-06,1.365873838111672e-07
913.6500347222245,4.501871333773151e-06,1.5143552611632503e-07
920.6500347222245,2.202610157294979e-06,1.1286671761931177e-07
927.6500347222245,1.4331670611284984e-06,1.004302297639067e-07
934.6500347222245,9.831120026415149e-07,1.0353054334264595e-07
941.6500347222245,3.6516987949526493e-06,1.9285813786561316e-07
948.6500347222245,3.320485901226028e-06,1.7431798309512125e-07
955.6500347222245,2.592570454237174e-06,1.514089884460028e-07
962.6500347222245,2.098750180544812e-06,1.1839177108214738e-07
969.6500347222245,1.4279006294770218e-06,9.636055924423589e-08
976.6500347222245,1.6206740700653329e-06,1.3966704933143388e-07
983.6500347222245,1.797028703842876e-06,1.0637434918509932e-07
990.6500347222245,1.5642594230727894e-06,1.0991536938036135e-07
997.6500347222245,1.2870956161536237e-06,1.1495638661435487e-07
1004.6500347222245,1.6484997716126336e-06,1.2422297431828552e-07
1011.6500347222245,1.4900948437270033e-06,1.4465032628447269e-07
1018.6500347222245,1.4190376221651439e-06,1.0593515848359876e-07
1025.6500347222245,1.4783162200115832e-06,1.0002444817566265e-07
1032.6500347222245,1.0998075947942828e-06,8.713998679207119e-08
1039.6500347222245,1.830715785280776e-07,7.395926187349901e-08
1046.6500347222245,3.3213200472127493e-07,9.796601548074977e-08
1053.6500347222245,3.847768184539262e-07,8.526817674909281e-08
1060.6500347222245,6.479896095781954e-07,1.0157136396805307e-07
1067.6500347222245,5.000974477156103e-07,8.329253160858356e-08
1074.6500347222245,2.317436759895301e-07,5.6409649110200857e-08
1081.6500347222245,1.6913054193629398e-07,6.175115716544726e-08
1088.6500347222245,3.7665557065814736e-07,7.203231782702625e-08
1095.6500347222245,2.7966435566402293e-07,7.88984301235128e-08
1102.6500347222245,4.058931972262064e-07,1.1463302137992122e-07
1109.6500347222245,7.122777202213135e-07,1.235269360854463e-07
1116.6500347222245,4.4864859068301397e-07,1.0581868611929531e-07
1123.6500347222245,3.917529794157831e-07,8.164779480070862e-08
1130.6500347222245,3.056579322903255e-07,6.383992287805288e-08
1137.6500347222245,9.0294870290856e-08,2.5975484831641232e-08
1144.6500347222245,5.188320997500008e-07,1.2862152916399626e-07
1151.6500347222245,3.8214158158635456e-07,1.2257952324695255e-07
1158.6500347222245,4.4196338127958737e-07,1.0542400859255143e-07
1165.6500347222245,4.1905607501098263e-07,1.1998049893720516e-07
1172.6500347222245,1.5389446429857267e-06,1.5759319842038015e-07
1179.6500347222245,1.8476375826791312e-06,1.1517623301586582e-07
1186.6500347222245,1.4199741327596648e-06,1.378042844847152e-07
1193.6500347222245,1.5953374232322883e-06,1.466862941470318e-07
1200.6500347222245,1.6278497958975612e-06,1.532033848635625e-07
1207.6500347222245,2.2207153225827897e-06,1.7951546593119504e-07
1214.6500347222245,7.11114837296597e-07,1.2550670317372992e-07
1221.6500347222245,5.229729450805759e-07,1.5848986724296005e-07
1228.6500347222245,5.844250706888755e-07,9.741315525534543e-08
1235.6500347222245,6.970617167030506e-07,8.086954450940726e-08
1242.6500347222245,1.9434015285058866e-07,7.543257578045063e-08
1249.6500347222245,1.2735114678777628e-07,4.755989794113318e-08
1256.6500347222245,3.136661565060543e-07,9.973566908267088e-08
